weather_condition,best_position,best_fitness,before_price,before_optimal,num
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 555.221582914468, 0, 1877.7134117647056, 0, 1854.4108235294116, 0, 1971.7496470588235, 0, 0, 0, 1296.2477647058822, 0, 890.5362352941177, 771.5011764705883, 0, 0]",3090494.4716562075,4628030.373529412,2747823.5866777827,6
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1334.5805898108354, 0, 0, 1854.4108235294116, 0, 1971.7496470588235, 1990.154117647059, 0, 0, 0, 0, 0, 0, 0, 650.9350588235294]",2355343.8652544743,3299464.6564235296,2034586.266734523,6
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 1959.3931764705883, 0, 1787.3102337939083, 1912.4449411764706, 1743.294705882353, 0, 0, 0, 771.5011764705883, 0, 0]",1932970.0509834995,3299464.6564235296,2034586.266734523,6
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 1253.7552926102082, 1971.7496470588235, 1990.154117647059, 0, 0, 1296.2477647058822, 0, 890.5362352941177, 771.5011764705883, 0, 0]",1960309.5134080264,3299464.6564235296,2034586.266734523,6
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1877.7134117647056, 0, 0, 0, 1971.7496470588235, 0, 1599.7015279095665, 1743.294705882353, 1296.2477647058822, 0, 890.5362352941177, 0, 694.522588235294, 0]",2031218.8307249504,3299464.6564235296,2034586.266734523,6
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 0, 0, 1971.7496470588235, 0, 1235.8177632056702, 1743.294705882353, 1296.2477647058822, 1036.2981176470587, 890.5362352941177, 0, 0, 0]",1968438.7795011469,3299464.6564235296,2034586.266734523,6
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1877.7134117647056, 1899.8216470588236, 953.2579984995356, 0, 0, 0, 1912.4449411764706, 1743.294705882353, 0, 1036.2981176470587, 0, 0, 0, 650.9350588235294]",2441904.9131127964,4288069.559223529,2657541.738771024,6
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 555.2215829137095, 0, 0, 0, 0, 1959.3931764705883, 0, 1990.154117647059, 1912.4449411764706, 1743.294705882353, 0, 1036.2981176470587, 0, 0, 0, 650.9350588235294]",2690281.913457376,4288069.559223529,2657541.738771024,6
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1899.8216470588236, 1854.4108235294116, 0, 490.0999984995551, 1990.154117647059, 1912.4449411764706, 0, 0, 1036.2981176470587, 890.5362352941177, 0, 0, 0]",2620104.7736657346,4288069.559223529,2657541.738771024,6
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1334.5805513879527, 0, 1899.8216470588236, 0, 485.2883443517401, 0, 0, 1912.4449411764706, 1743.294705882353, 0, 1036.2981176470587, 890.5362352941177, 771.5011764705883, 0, 0]",2443126.968655042,4288069.559223529,2657541.738771024,6
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1334.5805898104031, 0, 0, 0, 1959.3931764705883, 0, 1990.154117647059, 1912.4449411764706, 1743.294705882353, 0, 0, 0, 771.5011764705883, 0, 0]",2661928.400845165,4288069.559223529,2657541.738771024,6
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.557833317647, 2000.5851523647057, 0, 0, 1900.0138831764707, 1813.0039411764706, 1131.9303766996964, 1262.674694117647, 0, 0, 0, 0]",2766287.2583723366,4057360.2113377373,2792481.821648731,7
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1983.1194262235294, 1900.0138831764707, 1813.0039411764706, 0, 0, 0, 393.5963666879981, 0, 0]",2679263.9282373856,4057360.2113377373,2792481.821648731,7
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.7772244588236, 0, 2000.5851523647057, 0, 1983.1194262235294, 0, 0, 1442.0872425115529, 1262.674694117647, 0, 0, 0, 1419.5221411764705]",2781463.2108000605,4057360.2113377373,2792481.821648731,7
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 155.30451807038213, 1984.0082934235295, 0, 0, 2000.5851523647057, 1983.4471112235294, 0, 1900.0138831764707, 0, 0, 0, 1104.187491717647, 946.2194308764705, 0, 0]",2795804.9156165626,4057360.2113377373,2792481.821648731,7
spring,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1864.794885489367, 1965.7772244588236, 0, 0, 1983.4471112235294, 0, 0, 0, 0, 1262.674694117647, 0, 946.2194308764705, 795.412083737647, 0]",3007809.4774877415,4057360.2113377373,2792481.821648731,7
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1984.0082934235295, 1846.5637734812992, 80.20818148503662, 0, 0, 1983.1194262235294, 0, 1813.0039411764706, 0, 1262.674694117647, 1104.187491717647, 0, 0, 0]",3619990.5076873563,5470412.672837496,3590205.885985866,7
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.557833317647, 2000.5851523647057, 0, 1983.1194262235294, 0, 1813.0039411764706, 261.0926051756322, 0, 1104.187491717647, 946.2194308764705, 0, 0]",3585909.6386865587,5470412.672837496,3590205.885985866,7
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.557833317647, 2000.5851523647057, 0, 0, 1900.0138831764707, 1813.0039411764706, 1498.4946260000002, 0, 0, 100.69836107976202, 795.412083737647, 0]",3533219.1970906807,5470412.672837496,3590205.885985866,7
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1983.1194262235294, 0, 0, 1498.4946260000002, 1262.674694117647, 1104.187491717647, 0, 241.25737920529573, 0]",3483088.06387594,5470412.672837496,3590205.885985866,7
summer,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.557833317647, 2000.5851523647057, 0, 1446.4396918761522, 1900.0138831764707, 0, 1498.4946260000002, 1262.674694117647, 0, 0, 0, 0]",3521236.8227285263,5470412.672837496,3590205.885985866,7
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 27.319333217438157, 0, 0, 0, 0, 1983.4471112235294, 1983.1194262235294, 1900.0138831764707, 1813.0039411764706, 0, 1262.674694117647, 1104.187491717647, 0, 0, 0]",2740681.892414979,4057360.2113377373,2792481.821648731,7
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 428.83859039368787, 0, 0, 0, 0, 1983.4471112235294, 1983.1194262235294, 0, 1813.0039411764706, 1498.4946260000002, 1262.674694117647, 1104.187491717647, 0, 0, 0]",2753008.53361032,4057360.2113377373,2792481.821648731,7
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1428.550413970349, 1900.0138831764707, 0, 1498.4946260000002, 1262.674694117647, 0, 0, 0, 0]",2705944.6328894757,4057360.2113377373,2792481.821648731,7
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.7772244588236, 0, 0, 1983.4471112235294, 1983.1194262235294, 0, 0, 0, 1262.674694117647, 1104.187491717647, 946.2194308764705, 0, 0]",2883203.114721553,4057360.2113377373,2792481.821648731,7
fall,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2000.5851523647057, 1983.4471112235294, 1983.1194262235294, 1900.0138831764707, 1813.0039411764706, 0, 0, 0, 393.596366687719, 0, 0]",2679263.928237416,4057360.2113377373,2792481.821648731,7
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.557833317647, 0, 0, 0, 1900.0138831764707, 1813.0039411764706, 1498.4946260000002, 1262.674694117647, 1104.187491717647, 0, 529.8334113468317, 0]",3458339.2647301955,5195352.020243755,3564824.19979125,7
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1633.8015119227432, 1965.7772244588236, 0, 0, 0, 0, 1900.0138831764707, 1813.0039411764706, 1498.4946260000002, 1262.674694117647, 0, 0, 0, 0]",3226938.167125243,5195352.020243755,3564824.19979125,7
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1965.7772244588236, 1965.557833317647, 2000.5851523647057, 0, 0, 1900.0138831764707, 0, 1498.4946260000002, 0, 0, 743.3371615337596, 0, 0]",3497733.2755903164,5195352.020243755,3564824.19979125,7
winter,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1984.0082934235295, 0, 0, 0, 1983.4471112235294, 0, 0, 1813.0039411764706, 1498.4946260000002, 1262.674694117647, 585.9177840350119, 946.2194308764705, 0, 0]",3429084.265877908,5195352.020243755,3564824.19979125,7
