Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice,optimal_rate,save_price
spring,1000,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115.03526220397936, 0, 0, 0, 0, 1514.4429977833925, 0, 0, 0, 0, 0, 0]",4044758.2595157092,4058280.677396543,4266094.676844304,0.333205585216163,13522.417880833615
spring,1500,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 283.8447380196954, 0, 0, 1642.7853925479453, 528.0867686180496, 0, 0, 0, 0, 0, 0]",3927343.744756679,3954373.6776726623,4266094.676844304,0.6835452367235981,27029.932915983256
spring,2000,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.2162346630906065, 0, 0, 1701.0730603072668, 0, 0, 0, 1564.2187397260275, 0, 0, 0, 0, 0, 0]",3814817.4064603597,3850466.6779487818,4266094.676844304,0.925842877503179,35649.27148842206
spring,2500,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1736.5756268602738, 1468.4437484794394, 0, 307.39564251778, 0, 0, 555.8751319514938, 0, 0, 0, 0]",3721736.0027215746,3746559.6782249017,4266094.676844304,0.6625725368156516,24823.675503327046
spring,3000,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59.68506388992206, 1381.3397261404666, 0, 0, 1719.696235112329, 0, 1642.7853925479453, 0, 0, 0, 0, 10.197670740989793, 0, 0]",3603948.9125939053,3642652.6785010207,4266094.676844304,1.0625159553515873,38703.7659071153
spring,3500,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 718.2649317207917, 0, 0, 1736.5756268602738, 0, 0, 1642.7853925479453, 1564.2187397260275, 0, 0, 0, 0, 0, 0]",3506810.842910137,3538745.6787771406,4266094.676844304,0.9024337651198215,31934.835867003538
spring,4000,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 529.2522699777293, 0, 1719.696235112329, 1718.7696244273973, 235.70814608323815, 1564.2187397260275, 0, 0, 0, 0, 649.9801218378084, 0]",3431289.395085687,3434838.679053259,4266094.676844304,0.10333189704707034,3549.2839675722644
spring,4500,7,"[0, 0, 0, 0, 0, 0, 0, 0, 120.5742133320528, 0, 0, 1703.2197488109593, 639.8002654691915, 371.7621797885429, 0, 1718.7696244273973, 0, 970.18416697824, 0, 0, 0, 783.0079246520548, 649.9801218378084, 399.122364890583]",3354102.724718488,3330931.6793293795,4266094.676844304,-0.6956325622918034,-23171.04538910836
spring,5000,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 750.0835152021757, 0, 0, 1263.4119794443495, 1736.5756268602738, 0, 391.43108481298003, 1642.7853925479453, 0, 172.90528187067707, 0, 385.7733901955688, 0, 649.9801218378084, 1145.5876602739725]",3317466.9304504185,3227024.6796054984,4266094.676844304,-2.802651353009688,-90442.25084492005
spring,1000,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 523.4994927705335, 518.1611159367271, 0, 497.09297224620684, 0, 0, 0, 0, 0, 94.73334158697806, 0]",3824157.803679631,3836725.185770024,4044539.185217785,0.32755491941419146,12567.382090392988
spring,1500,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 670.6862823443005, 968.6536942530817, 0, 814.9051593797217, 0, 0, 0, 0, 0, 0]",3705853.356452945,3732818.1860461435,4044539.185217785,0.7223718983688279,26964.829593198374
spring,2000,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2079.2715565848493, 0, 641.3761386315216, 527.5188762435698, 0, 0, 0, 0, 0, 0]",3596292.198356313,3628911.186322262,4044539.185217785,0.8988643229653343,32618.98796594888
