Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
spring,1500,22,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1215.6486041209878, 1189.245106849315, 0, 50.07244663683961, 0, 0, 0, 0, 0]",2878399.9913373073,2903927.0978037002,3215648.0969753414
spring,1500,25,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1590.3464405151171, 0, 0, 0, 0, 864.6197170920246, 0, 0, 0, 0, 0]",3880069.747006036,3880590.2522694543,4192311.2514410964
spring,1500,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 268.96212473042993, 0, 0, 0, 2186.0040328767127, 0, 0, 0, 0, 0, 0]",5565246.27568583,5592310.606263975,5904031.605435617
spring,1500,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.1206601274025331e-07, 811.6664603828563, 0, 902.2716493150685, 741.028047797152, 0, 0, 0, 0, 0, 0]",1955628.6794957311,1982693.010073875,2294414.0092455163
spring,1500,31,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2454.9661576071385, 0, 0, 0, 0, 0, 0]",14873938.636584459,14901002.967162604,15212723.966334244
spring,1500,32,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1959.8810301369865, 495.0851274701548, 0, 0, 0, 0, 0, 0]",5769406.307291311,5796470.637869455,6108191.637041097
spring,1500,33,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 351.09775212769006, 0, 0, 0, 2103.868405479452, 0, 0, 0, 0, 0, 0]",6268324.89298994,6295389.223568085,6607110.222739725
spring,1500,35,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1861.391944507397, 593.5742130997454, 0, 0, 0, 0, 0, 0]",3549933.914884676,3576998.245462821,3888719.244634462
spring,1500,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1549.1336547945207, 905.8325028126204, 0, 0, 0, 0, 0, 0]",3139836.289488193,3166900.6200663373,3478621.619237979
spring,1500,46,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1587.4970317647787, 0, 817.1684877293532, 50.30063811301026, 0, 0, 0, 0, 0, 0]",4915267.685702268,4942332.016280413,5254053.015452055
spring,1500,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2427491320024548e-06, 865.3244397856712, 0, 0, 0, 0, 0, 1542.8205369863017, 46.80770575249751, 0, 0.013472780165765747, 0, 0, 0]",3164254.4699635683,3189881.390283661,3501602.3894553017
spring,1500,49,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 521.5138124016618, 910.350591780822, 0, 1023.1017534246575, 0, 0, 0, 0, 0, 0]",2630427.4398579584,2657491.7704361025,2969212.7696077446
spring,1500,50,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 813.9143263243836, 0, 0, 0, 499.4403463512466, 1141.611484931507, 0, 0, 0, 0]",2425252.379905746,2401936.4192635086,2713657.4184351503
spring,1500,53,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 667.2841110947967, 0, 0, 0, 1558.4151452054796, 0, 0, 229.26690130686637, 0, 0, 0, 0, 0]",3574054.1528655402,3594079.989573564,3905800.988745205
spring,1500,54,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1051.376730383567, 628.4750369319373, 0, 0, 775.1143902916351, 0, 0, 0, 0, 0, 0]",17798352.86036528,17825417.190943424,18137138.190115064
spring,1500,57,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 376.33792886929416, 0, 0, 0.0006472785674719771, 1229.8799997161873, 0, 848.4847805306234, 1.3054979470326388e-07, 0, 0, 0, 0, 0.26277230093206294]",6612978.543667476,6640028.890783427,6951749.889955068
spring,1500,58,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 526.7553657648252, 0, 938.8969643835617, 0, 0, 939.2413808219179, 0, 0, 0, 0, 0, 0, 0]",2123513.740203461,2143668.0731457216,2455389.0723173628
spring,1500,59,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1046.0684873534246, 459.03225495508707, 0, 0, 949.8654152986303, 0, 0, 0, 0, 0, 0]",2435136.2396255005,2462200.5702036447,2773921.569375286
spring,2000,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3273.288210142841, 0, 0, 0, 0, 0, 0]",21226880.42703864,21262966.201142833,21678594.200038355
