Weather,Capacity,Company,BestPosition,BestFitness,BeforeOptimalPrice,BeforePrice
summer,5000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 393.95976234608577, 0, 1691.1316602739726, 1783.8605170385142, 1766.460676712329, 467.87969373728396, 1482.258713348353, 56.56140785199206, 2.07537380134523, 0, 0.20722190860710918, 0, 0]",3227694.843647279,3468996.775142585,4903101.777893508
summer,7000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 334.23169912332514, 0, 1715.778019178082, 0, 1691.1316602739726, 1788.9660000000001, 1766.460676712329, 1734.623802739726, 1542.8205369863017, 0, 0, 128.14064281214354, 0, 0, 0]",2588729.3094522804,2895354.774042217,4903101.777893508
summer,9000,48,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 676.953171336288, 1719.1622092657535, 1715.778019178082, 0, 1691.1316602739726, 1788.9660000000001, 1766.460676712329, 1734.623802739726, 1542.8205369863017, 1117.7851068493153, 0, 6.229865291504201, 0, 0, 0]",2167676.031364102,2321712.7729418483,4903101.777893508
summer,1000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.2656580789028755, 841.6379152866521, 113.99748004874282, 140.00488897966036, 419.2042622973498, 11.768800712388659, 0, 0, 0, 0, 0]",4566091.493835686,4614351.880134747,4901172.880684932
summer,3000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1724.5795068493153, 18.789967268251818, 0, 1679.2786849315069, 1128.6824550248489, 35.306402137167275, 0, 0, 0, 0, 0]",3895928.7201371943,4040709.8790343786,4901172.880684932
summer,5000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1622.88296524601, 0, 0, 1733.7698630136988, 1024.3961677995683, 1679.2786849315069, 1525.2233424657536, 0, 0, 58.84400356194467, 0, 0, 0]",3225765.9464387037,3467067.8779340093,4901172.880684932
summer,7000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 444.77203427029434, 0, 1675.6037260273974, 0, 1724.5795068493153, 1733.7698630136988, 1749.5585753424657, 1679.2786849315069, 1525.2233424657536, 169.09980465848872, 0, 0.2675002669592332, 0, 0, 0]",2599260.4827187727,2893425.8768336405,4901172.880684932
summer,9000,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1513.3137534246578, 1658.1521095890412, 1675.6037260273974, 0, 1724.5795068493153, 1733.7698630136988, 1749.5585753424657, 1679.2786849315069, 1525.2233424657536, 500.4314869894342, 0, 0, 0, 0, 0]",2178207.204630595,2319783.875733272,4901172.880684932
summer,1000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102.43529687745841, 0, 0.5407568867817126, 7.50818519861214, 5.160527073677156, 760.5614883015897, 640.9039503531761, 11.768800712401685, 0, 0, 0, 0, 0]",4504281.733079145,4552542.119378205,4839363.119928391
summer,3000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1528.3923287671232, 0, 0, 1568.0481534246576, 359.88634473208174, 15.33310288759521, 1079.670684262463, 34.720362066888256, 0, 0.5815089416938797, 0.004531128587748601, 0, 0]",3834118.959380653,3978900.118277837,4839363.119928391
summer,5000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1528.3923287671232, 0, 587.5874698494328, 1568.0481534246576, 923.2199562608961, 1549.1336547945207, 1429.1694603599092, 55.38406188766965, 3.4599416742752815, 0, 0, 0, 0]",3163956.1856821626,3405258.1171774687,4839363.119928391
summer,7000,41,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1237.2782411840976, 1528.3923287671232, 0, 1561.0000438356165, 1568.0481534246576, 1550.5592547945207, 1549.1336547945207, 1538.5952219178084, 149.17888340824624, 19.967255699289097, 0, 0, 0, 0]",2602497.3238362046,2831616.1160771,4839363.119928391
